datetime,NonSpin,RegDown,RegUp,Spin
2024-01-01 00:00:00,0.05833333333333333,0.6698733333333333,0.09733166666666666,0.05833333333333333
2024-01-01 01:00:00,0.05833333333333333,0.6699999999999999,0.07012,0.05833333333333333
2024-01-01 02:00:00,0.05833333333333333,0.6699999999999999,0.05833333333333333,0.05833333333333333
2024-01-01 03:00:00,0.05833333333333333,0.6699999999999999,0.05833333333333333,0.05833333333333333
2024-01-01 04:00:00,0.05833333333333333,0.6699999999999999,0.05833333333333333,0.05833333333333333
2024-01-01 05:00:00,0.05833333333333333,0.6706483333333333,0.05833333333333333,0.05833333333333333
2024-01-01 06:00:00,0.05833333333333333,1.007,0.05833333333333333,0.05833333333333333
2024-01-01 07:00:00,0.05833333333333333,1.5517533333333333,0.16833333333333333,0.05833333333333333
2024-01-01 08:00:00,0.05833333333333333,0.8585083333333333,0.8333333333333334,0.05833333333333333
2024-01-01 09:00:00,0.05833333333333333,0.8333333333333334,0.5190966666666667,0.05833333333333333
2024-01-01 10:00:00,0.05833333333333333,1.0553833333333333,0.25,0.05833333333333333
2024-01-01 11:00:00,0.05000000000000001,1.2616666666666667,0.25000000000000006,0.05000000000000001
2024-01-01 12:00:00,0.05000000000000001,1.6721583333333332,0.36166666666666664,0.05000000000000001
2024-01-01 13:00:00,0.023333333333333334,1.667355,0.33666666666666667,0.023333333333333334
2024-01-01 14:00:00,0.05000000000000001,1.4267500000000002,0.36333333333333334,0.05000000000000001
2024-01-01 15:00:00,0.05833333333333333,0.8373499999999999,0.25,0.05833333333333333
2024-01-01 16:00:00,0.05833333333333333,1.9581283333333335,0.29333333333333333,0.05833333333333333
2024-01-01 17:00:00,0.075,1.4957116666666668,0.304795,0.075
2024-01-01 18:00:00,0.20833333333333334,1.6683333333333332,0.33237333333333335,0.20833333333333334
2024-01-01 19:00:00,0.25,0.8333333333333334,0.2833333333333333,0.25
2024-01-01 20:00:00,0.135,0.8018483333333334,0.2833333333333334,0.135
2024-01-01 21:00:00,0.09000000000000001,0.8333333333333334,0.32617,0.09000000000000001
2024-01-01 22:00:00,0.05833333333333333,0.9308683333333333,0.33379166666666665,0.05833333333333333
2024-01-01 23:00:00,0.05833333333333333,0.8333333333333334,0.4683333333333333,0.05833333333333333
2024-01-02 00:00:00,0.05833333333333333,0.8033333333333333,0.25,0.05833333333333333
2024-01-02 01:00:00,0.05833333333333333,0.8583333333333334,0.2469233333333333,0.05833333333333333
2024-01-02 02:00:00,0.05833333333333333,0.8333333333333334,0.3583333333333334,0.05833333333333333
2024-01-02 03:00:00,0.05833333333333333,0.8083333333333332,0.2469233333333333,0.05833333333333333
2024-01-02 04:00:00,0.05833333333333333,0.6809483333333333,0.2454533333333333,0.05833333333333333
2024-01-02 05:00:00,0.05833333333333333,0.8333333333333334,0.17243166666666668,0.05833333333333333
2024-01-02 06:00:00,0.05833333333333333,1.0533333333333335,0.405,0.05833333333333333
2024-01-02 07:00:00,0.05833333333333333,1.3316666666666668,0.405,0.05833333333333333
2024-01-02 08:00:00,0.05833333333333333,2.2883100000000005,0.7115283333333333,0.09319499999999999
2024-01-02 09:00:00,0.05833333333333333,1.0266666666666666,0.25010666666666664,0.05833333333333333
2024-01-02 10:00:00,0.05833333333333333,1.261185,0.15188666666666667,0.05833333333333333
2024-01-02 11:00:00,0.05833333333333333,0.9016833333333333,0.4683333333333333,0.05833333333333333
2024-01-02 12:00:00,0.05833333333333333,0.9674666666666667,0.8333333333333334,0.05833333333333333
2024-01-02 13:00:00,0.05833333333333333,1.0493316666666666,0.4415166666666666,0.07485
2024-01-02 14:00:00,0.05833333333333333,0.9837333333333333,0.8333333333333334,0.05833333333333333
2024-01-02 15:00:00,0.05833333333333333,0.9129933333333334,0.425,0.05833333333333333
2024-01-02 16:00:00,0.05833333333333333,2.0045866666666665,0.34833333333333333,0.05833333333333333
2024-01-02 17:00:00,0.12666666666666668,1.6683333333333332,0.5800000000000001,0.12666666666666668
2024-01-02 18:00:00,0.21333333333333335,1.6683333333333332,0.34833333333333333,0.21333333333333335
2024-01-02 19:00:00,0.25,1.1666666666666667,0.38940166666666665,0.25
2024-01-02 20:00:00,0.135,0.8116666666666666,0.4388283333333334,0.135
2024-01-02 21:00:00,0.09000000000000001,0.8333333333333334,0.5857966666666666,0.09000000000000001
2024-01-02 22:00:00,0.05833333333333333,0.8766666666666666,0.35833333333333334,0.05833333333333333
2024-01-02 23:00:00,0.05833333333333333,0.9889333333333333,0.3833333333333333,0.08333333333333333
2024-01-03 00:00:00,0.05833333333333333,0.7400000000000001,0.10097,0.05833333333333333
2024-01-03 01:00:00,0.05833333333333333,0.7400000000000001,0.154355,0.05833333333333333
2024-01-03 02:00:00,0.05833333333333333,0.7400000000000001,0.15997333333333333,0.05833333333333333
2024-01-03 03:00:00,0.05833333333333333,0.7400000000000001,0.09332833333333333,0.05833333333333333
2024-01-03 04:00:00,0.05833333333333333,0.7400000000000001,0.08057333333333333,0.05833333333333333
2024-01-03 05:00:00,0.05833333333333333,0.8333333333333334,0.08984999999999999,0.05833333333333333
2024-01-03 06:00:00,0.05833333333333333,0.8333333333333334,0.08672,0.05833333333333333
2024-01-03 07:00:00,0.05833333333333333,1.3316666666666668,0.345,0.075
2024-01-03 08:00:00,0.05833333333333333,0.8333333333333334,0.345,0.075
2024-01-03 09:00:00,0.05833333333333333,0.8333333333333334,0.32166666666666666,0.05833333333333333
2024-01-03 10:00:00,0.05833333333333333,0.8333333333333334,0.340555,0.05833333333333333
