datetime,SP15
2024-01-07 11:00:00,17.90736
2024-01-07 12:00:00,12.79694
2024-01-07 13:00:00,12.65254
2024-01-07 14:00:00,18.07778
2024-01-07 15:00:00,48.1
2024-01-07 16:00:00,71.98545
2024-01-07 17:00:00,75.38776
2024-01-07 18:00:00,75.69
2024-01-07 19:00:00,75.80503
2024-01-07 20:00:00,75.41262
2024-01-07 21:00:00,75.35116
2024-01-07 22:00:00,74.25191
2024-01-07 23:00:00,73.15686
2024-01-08 00:00:00,71.22661
2024-01-08 01:00:00,70.43955
2024-01-08 02:00:00,70.70219
2024-01-08 03:00:00,70.70623
2024-01-08 04:00:00,72.07684
2024-01-08 05:00:00,89.73645
2024-01-08 06:00:00,106.16906
2024-01-08 07:00:00,101.2021
2024-01-08 08:00:00,53.96309
2024-01-08 09:00:00,42.59775
2024-01-08 10:00:00,35.16194
2024-01-08 11:00:00,35.77534
2024-01-08 12:00:00,32.39407
2024-01-08 13:00:00,30.40925
2024-01-08 14:00:00,33.09
2024-01-08 15:00:00,60.14971
2024-01-08 16:00:00,100.77538
2024-01-08 17:00:00,103.55552
2024-01-08 18:00:00,103.22581
2024-01-08 19:00:00,101.81423
2024-01-08 20:00:00,101.17378
2024-01-08 21:00:00,100.67012
2024-01-08 22:00:00,91.50492
2024-01-08 23:00:00,85.14355
2024-01-09 00:00:00,76.1929
2024-01-09 01:00:00,70.99221
2024-01-09 02:00:00,70.78193
2024-01-09 03:00:00,70.70166
2024-01-09 04:00:00,72.55794
2024-01-09 05:00:00,81.37685
2024-01-09 06:00:00,94.20499
2024-01-09 07:00:00,82.68167
2024-01-09 08:00:00,52.6417
2024-01-09 09:00:00,43.14706
2024-01-09 10:00:00,38.42303
2024-01-09 11:00:00,32.83848
2024-01-09 12:00:00,26.48226
2024-01-09 13:00:00,20.90278
2024-01-09 14:00:00,22.78692
2024-01-09 15:00:00,55.44925
2024-01-09 16:00:00,71.84988
2024-01-09 17:00:00,74.94851
2024-01-09 18:00:00,73.94801
2024-01-09 19:00:00,73.76385
2024-01-09 20:00:00,73.70763
2024-01-09 21:00:00,73.91158
2024-01-09 22:00:00,72.5258
2024-01-09 23:00:00,66.55651
