datetime,profit_realized,profit_cum,soc_asset_1,energy_profit,solar_profit,as_profit,degradation_cost,exec_buy_mwh,exec_sell_mwh,exec_solar_to_grid_mwh,exec_reserve_mw
2024-02-11 16:00:00,183.96950166666667,183.96950166666667,5.0,0.0,179.279055,4.690446666666666,0.0,0.0,0.0,4.5,2.0
2024-02-11 17:00:00,174.89907999999983,358.8685816666665,5.0,0.0,173.18213333333316,1.7169466666666666,0.0,0.0,0.0,3.33333333333333,2.0
2024-02-11 18:00:00,97.75709333333316,456.62567499999966,5.0,0.0,96.09042666666649,1.6666666666666667,0.0,0.0,0.0,1.83333333333333,2.0
2024-02-11 19:00:00,1.4431200000000002,458.0687949999997,5.0,0.0,0.0,1.4431200000000002,0.0,0.0,0.0,0.0,2.0
2024-02-11 20:00:00,1.2833333333333334,459.35212833333304,5.0,0.0,0.0,1.2833333333333334,0.0,0.0,0.0,0.0,2.0
2024-02-11 21:00:00,211.2222458138773,670.5743741472104,0.0,233.58292558887518,0.0,0.0,22.360679774997898,0.0,4.47213595499958,0.0,0.0
2024-02-11 22:00:00,1.3466666666666667,671.9210408138771,0.0,0.0,0.0,1.3466666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-11 23:00:00,1.6666666666666667,673.5877074805437,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-12 00:00:00,1.4566666666666668,675.0443741472104,0.0,0.0,0.0,1.4566666666666668,0.0,0.0,0.0,0.0,2.0
2024-02-12 01:00:00,1.27746,676.3218341472104,0.0,0.0,0.0,1.27746,0.0,0.0,0.0,0.0,2.0
2024-02-12 02:00:00,1.3214133333333333,677.6432474805438,0.0,0.0,0.0,1.3214133333333333,0.0,0.0,0.0,0.0,2.0
2024-02-12 03:00:00,1.2996833333333333,678.9429308138771,0.0,0.0,0.0,1.2996833333333333,0.0,0.0,0.0,0.0,2.0
2024-02-12 04:00:00,1.4866666666666666,680.4295974805437,0.0,0.0,0.0,1.4866666666666666,0.0,0.0,0.0,0.0,2.0
2024-02-12 05:00:00,1.8866666666666667,682.3162641472104,0.0,0.0,0.0,1.8866666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-12 06:00:00,2.036666666666666,684.352930813877,0.0,0.0,0.0,2.036666666666666,0.0,0.0,0.0,0.0,2.0
2024-02-12 07:00:00,3.0854433333333335,687.4383741472104,0.0,0.0,0.0,3.0854433333333335,0.0,0.0,0.0,0.0,2.0
2024-02-12 08:00:00,36.7248216666666,724.163195813877,0.0,0.0,35.058154999999935,1.6666666666666667,0.0,0.0,0.0,1.83333333333333,2.0
2024-02-12 09:00:00,7.129166666666661,731.2923624805436,0.0,0.0,5.462499999999994,1.6666666666666667,0.0,0.0,0.0,3.33333333333333,2.0
2024-02-12 10:00:00,2.2242166666666665,733.5165791472102,0.0,0.0,0.0,2.2242166666666665,0.0,0.0,0.0,0.0,2.0
2024-02-12 11:00:00,1.6666666666666667,735.1832458138769,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-12 12:00:00,2.513333333333333,737.6965791472102,0.0,0.0,0.0,2.513333333333333,0.0,0.0,0.0,0.0,2.0
2024-02-12 13:00:00,2.489386666666667,740.1859658138768,0.0,0.0,0.0,2.489386666666667,0.0,0.0,0.0,0.0,2.0
2024-02-12 14:00:00,-5.90169943749475,734.2842663763821,1.0557280900008426,0.0,0.0,0.0,5.90169943749475,1.18033988749895,0.0,0.0,0.0
2024-02-12 15:00:00,-100.10665333333336,634.1776130430487,10.000000000000002,-50.10665333333336,0.0,0.0,50.0,10.0,0.0,0.0,0.0
2024-02-12 16:00:00,219.27180666666675,853.4494197097155,10.0,7.694664258672964e-14,217.935,1.3368066666666667,7.94410929039125e-15,0.0,1.58882185807825e-15,4.5,2.0
2024-02-12 17:00:00,728.0680700571335,1581.517489766849,0.0,562.9793962737962,209.8100333333331,0.0,44.721359549995796,0.0,8.94427190999916,3.33333333333333,0.0
2024-02-12 18:00:00,118.07584999999978,1699.5933397668487,0.0,0.0,116.03918333333311,2.036666666666666,0.0,0.0,0.0,1.83333333333333,2.0
2024-02-12 19:00:00,1.5766666666666669,1701.1700064335153,0.0,0.0,0.0,1.5766666666666669,0.0,0.0,0.0,0.0,2.0
2024-02-12 20:00:00,1.24,1702.4100064335153,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,2.0
2024-02-12 21:00:00,1.5766666666666669,1703.9866731001819,0.0,0.0,0.0,1.5766666666666669,0.0,0.0,0.0,0.0,2.0
2024-02-12 22:00:00,1.4617166666666668,1705.4483897668485,0.0,0.0,0.0,1.4617166666666668,0.0,0.0,0.0,0.0,2.0
2024-02-12 23:00:00,1.6666666666666667,1707.1150564335153,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-13 00:00:00,1.4466666666666665,1708.561723100182,0.0,0.0,0.0,1.4466666666666665,0.0,0.0,0.0,0.0,2.0
2024-02-13 01:00:00,1.5530366666666666,1710.1147597668487,0.0,0.0,0.0,1.5530366666666666,0.0,0.0,0.0,0.0,2.0
2024-02-13 02:00:00,1.5985500000000001,1711.7133097668486,0.0,0.0,0.0,1.5985500000000001,0.0,0.0,0.0,0.0,2.0
2024-02-13 03:00:00,1.59155,1713.3048597668487,0.0,0.0,0.0,1.59155,0.0,0.0,0.0,0.0,2.0
2024-02-13 04:00:00,1.4961033333333333,1714.8009631001821,0.0,0.0,0.0,1.4961033333333333,0.0,0.0,0.0,0.0,2.0
2024-02-13 05:00:00,1.6666666666666667,1716.4676297668489,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0
2024-02-13 06:00:00,1.7064833333333331,1718.1741131001822,0.0,0.0,0.0,1.7064833333333331,0.0,0.0,0.0,0.0,2.0
2024-02-13 07:00:00,2.6633333333333336,1720.8374464335157,0.0,0.0,0.0,2.6633333333333336,0.0,0.0,0.0,0.0,2.0
2024-02-13 08:00:00,44.71360833333325,1765.551054766849,0.0,0.0,43.046941666666584,1.6666666666666667,0.0,0.0,0.0,1.83333333333333,2.0
2024-02-13 09:00:00,22.181333333333313,1787.732388100182,0.0,0.0,20.514666666666646,1.6666666666666667,0.0,0.0,0.0,3.33333333333333,2.0
2024-02-13 10:00:00,13.915621666666665,1801.6480097668489,0.0,0.0,12.248954999999999,1.6666666666666667,0.0,0.0,0.0,4.5,2.0
2024-02-13 11:00:00,9.086346666666662,1810.7343564335156,0.0,0.0,7.419679999999995,1.6666666666666667,0.0,0.0,0.0,5.33333333333333,2.0
2024-02-13 12:00:00,2.5,1813.2343564335156,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.83333333333333,2.0
2024-02-13 13:00:00,-26.735032770828102,1786.4993236626874,4.7825080525004955,0.0,0.0,0.0,26.735032770828102,5.34700655416562,0.0,0.0,0.0
2024-02-13 14:00:00,-29.16666666666664,1757.3326569960207,10.000000000000002,1.0981349163330375e-14,0.0,0.0,29.16666666666665,5.83333333333333,0.0,0.0,0.0
2024-02-13 15:00:00,51.354666666666645,1808.6873236626873,10.0,1.5149813622240632e-14,50.85466666666664,0.5,7.94410929039125e-15,0.0,1.58882185807825e-15,5.33333333333333,2.0
2024-02-13 16:00:00,199.6642633333333,2008.3515869960206,10.0,0.0,198.46232999999998,1.2019333333333333,0.0,0.0,0.0,4.5,2.0
2024-02-13 17:00:00,197.24253666666647,2205.5941236626873,10.0,0.0,195.18746666666647,2.05507,0.0,0.0,0.0,3.33333333333333,2.0
2024-02-13 18:00:00,107.84510666666647,2313.439230329354,10.0,0.0,106.01308666666647,1.83202,0.0,0.0,0.0,1.83333333333333,2.0
2024-02-13 19:00:00,1.6736566666666668,2315.1128869960207,10.0,0.0,0.0,1.6736566666666668,0.0,0.0,0.0,0.0,2.0
2024-02-13 20:00:00,0.36594,2315.478826996021,10.0,0.0,0.0,0.36594,0.0,0.0,0.0,0.0,2.0
