time_step,datetime,node,product,price,buy_qty,sell_qty,commitment_mw,pnl
1,2024-01-01 00:00:00,TH_SP15_GEN-APND,SP15,46.08,0.0,3.52786404500042,0.0,141.3967909236168
1,2024-01-01 00:00:00,TH_SP15_GEN-APND,RegUp,0.58399,0.0,0.0,0.944271909999158,0.5514453527204083
1,2024-01-01 00:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
1,2024-01-01 00:00:00,TH_SP15_GEN-APND,RegDown,4.01924,0.0,0.0,10.0,40.1924
1,2024-01-01 00:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
2,2024-01-01 01:00:00,TH_SP15_GEN-APND,SP15,45.32571,0.0,0.0,0.0,0.0
2,2024-01-01 01:00:00,TH_SP15_GEN-APND,RegUp,0.42072,0.0,0.0,0.944271909999158,0.39727407797484576
2,2024-01-01 01:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
2,2024-01-01 01:00:00,TH_SP15_GEN-APND,RegDown,4.02,0.0,0.0,10.0,40.199999999999996
2,2024-01-01 01:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
3,2024-01-01 02:00:00,TH_SP15_GEN-APND,SP15,44.91129,0.0,0.0,0.0,0.0
3,2024-01-01 02:00:00,TH_SP15_GEN-APND,RegUp,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
3,2024-01-01 02:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
3,2024-01-01 02:00:00,TH_SP15_GEN-APND,RegDown,4.02,0.0,0.0,10.0,40.199999999999996
3,2024-01-01 02:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
4,2024-01-01 03:00:00,TH_SP15_GEN-APND,SP15,44.56314,0.0,0.0,0.0,0.0
4,2024-01-01 03:00:00,TH_SP15_GEN-APND,RegUp,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
4,2024-01-01 03:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
4,2024-01-01 03:00:00,TH_SP15_GEN-APND,RegDown,4.02,0.0,0.0,10.0,40.199999999999996
