time_step,datetime,soc
125,2024-01-06 04:00:00,1.05572809000084
126,2024-01-06 05:00:00,1.05572809000084
127,2024-01-06 06:00:00,0.0
128,2024-01-06 07:00:00,0.0
129,2024-01-06 08:00:00,0.0
130,2024-01-06 09:00:00,0.0
131,2024-01-06 10:00:00,1.05572809000084
132,2024-01-06 11:00:00,1.05572809000084
133,2024-01-06 12:00:00,1.05572809000084
134,2024-01-06 13:00:00,10.0
135,2024-01-06 14:00:00,10.0
136,2024-01-06 15:00:00,10.0
137,2024-01-06 16:00:00,1.05572809000084
138,2024-01-06 17:00:00,1.05572809000084
139,2024-01-06 18:00:00,1.05572809000084
140,2024-01-06 19:00:00,1.05572809000084
141,2024-01-06 20:00:00,1.05572809000084
142,2024-01-06 21:00:00,1.05572809000084
143,2024-01-06 22:00:00,1.05572809000084
144,2024-01-06 23:00:00,1.05572809000084
145,2024-01-07 00:00:00,1.05572809000084
146,2024-01-07 01:00:00,1.05572809000084
147,2024-01-07 02:00:00,1.05572809000084
148,2024-01-07 03:00:00,1.05572809000084
149,2024-01-07 04:00:00,1.05572809000084
150,2024-01-07 05:00:00,1.05572809000084
151,2024-01-07 06:00:00,0.0
152,2024-01-07 07:00:00,0.0
153,2024-01-07 08:00:00,0.0
154,2024-01-07 09:00:00,0.0
155,2024-01-07 10:00:00,0.0
156,2024-01-07 11:00:00,0.0
157,2024-01-07 12:00:00,1.05572809000084
158,2024-01-07 13:00:00,1.05572809000084
159,2024-01-07 14:00:00,10.0
160,2024-01-07 15:00:00,10.0
161,2024-01-07 16:00:00,1.05572809000084
162,2024-01-07 17:00:00,1.05572809000084
163,2024-01-07 18:00:00,1.05572809000084
164,2024-01-07 19:00:00,1.05572809000084
165,2024-01-07 20:00:00,1.05572809000084
166,2024-01-07 21:00:00,1.05572809000084
167,2024-01-07 22:00:00,1.05572809000084
168,2024-01-07 23:00:00,1.05572809000084
169,2024-01-08 00:00:00,1.05572809000084
170,2024-01-08 01:00:00,1.05572809000084
171,2024-01-08 02:00:00,1.05572809000084
172,2024-01-08 03:00:00,1.05572809000084
173,2024-01-08 04:00:00,1.05572809000084
174,2024-01-08 05:00:00,1.05572809000084
175,2024-01-08 06:00:00,0.0
176,2024-01-08 07:00:00,0.0
177,2024-01-08 08:00:00,0.0
178,2024-01-08 09:00:00,0.0
179,2024-01-08 10:00:00,1.05572809000084
180,2024-01-08 11:00:00,1.05572809000084
181,2024-01-08 12:00:00,1.05572809000084
182,2024-01-08 13:00:00,1.05572809000084
183,2024-01-08 14:00:00,10.0
184,2024-01-08 15:00:00,10.0
185,2024-01-08 16:00:00,1.05572809000084
186,2024-01-08 17:00:00,1.05572809000084
187,2024-01-08 18:00:00,1.05572809000084
188,2024-01-08 19:00:00,1.05572809000084
189,2024-01-08 20:00:00,1.05572809000084
190,2024-01-08 21:00:00,1.05572809000084
191,2024-01-08 22:00:00,1.05572809000084
192,2024-01-08 23:00:00,1.05572809000084
193,2024-01-09 00:00:00,1.05572809000084
194,2024-01-09 01:00:00,1.05572809000084
195,2024-01-09 02:00:00,1.05572809000084
196,2024-01-09 03:00:00,1.05572809000084
197,2024-01-09 04:00:00,1.05572809000084
198,2024-01-09 05:00:00,1.05572809000084
199,2024-01-09 06:00:00,0.0
200,2024-01-09 07:00:00,0.0
201,2024-01-09 08:00:00,0.0
202,2024-01-09 09:00:00,0.0
203,2024-01-09 10:00:00,0.0
204,2024-01-09 11:00:00,0.0
205,2024-01-09 12:00:00,0.0
206,2024-01-09 13:00:00,1.05572809000084
207,2024-01-09 14:00:00,10.0
208,2024-01-09 15:00:00,10.0
209,2024-01-09 16:00:00,1.05572809000084
210,2024-01-09 17:00:00,1.05572809000084
211,2024-01-09 18:00:00,1.05572809000084
212,2024-01-09 19:00:00,1.05572809000084
213,2024-01-09 20:00:00,1.05572809000084
214,2024-01-09 21:00:00,1.05572809000084
215,2024-01-09 22:00:00,1.05572809000084
216,2024-01-09 23:00:00,1.05572809000084
217,2024-01-10 00:00:00,1.05572809000084
218,2024-01-10 01:00:00,1.05572809000084
219,2024-01-10 02:00:00,1.05572809000084
220,2024-01-10 03:00:00,1.05572809000084
221,2024-01-10 04:00:00,1.05572809000084
222,2024-01-10 05:00:00,1.05572809000084
223,2024-01-10 06:00:00,0.0
224,2024-01-10 07:00:00,0.0
225,2024-01-10 08:00:00,0.0
226,2024-01-10 09:00:00,0.0
227,2024-01-10 10:00:00,0.0
228,2024-01-10 11:00:00,0.0
229,2024-01-10 12:00:00,0.0
230,2024-01-10 13:00:00,1.05572809000084
231,2024-01-10 14:00:00,10.0
232,2024-01-10 15:00:00,10.0
233,2024-01-10 16:00:00,1.05572809000084
234,2024-01-10 17:00:00,1.05572809000084
235,2024-01-10 18:00:00,1.05572809000084
236,2024-01-10 19:00:00,1.05572809000084
237,2024-01-10 20:00:00,1.05572809000084
238,2024-01-10 21:00:00,1.05572809000084
239,2024-01-10 22:00:00,1.05572809000084
240,2024-01-10 23:00:00,1.05572809000084
241,2024-01-11 00:00:00,1.05572809000084
242,2024-01-11 01:00:00,1.05572809000084
243,2024-01-11 02:00:00,1.05572809000084
244,2024-01-11 03:00:00,1.05572809000084
245,2024-01-11 04:00:00,1.05572809000084
246,2024-01-11 05:00:00,1.05572809000084
247,2024-01-11 06:00:00,1.05572809000084
248,2024-01-11 07:00:00,1.05572809000084
249,2024-01-11 08:00:00,1.05572809000084
250,2024-01-11 09:00:00,1.05572809000084
251,2024-01-11 10:00:00,1.05572809000084
252,2024-01-11 11:00:00,1.05572809000084
253,2024-01-11 12:00:00,1.05572809000084
254,2024-01-11 13:00:00,1.05572809000084
255,2024-01-11 14:00:00,10.0
256,2024-01-11 15:00:00,10.0
257,2024-01-11 16:00:00,3.72677996249965
258,2024-01-11 17:00:00,3.72677996249965
259,2024-01-11 18:00:00,3.72677996249965
260,2024-01-11 19:00:00,3.72677996249965
261,2024-01-11 20:00:00,3.72677996249965
262,2024-01-11 21:00:00,1.05572809000084
263,2024-01-11 22:00:00,1.05572809000084
264,2024-01-11 23:00:00,1.05572809000084
